[2026-06-05 15:27:00] [INFO ] INICIO_SESION | usuario=123 tipo=Estudiante
[2026-06-05 15:27:08] [INFO ] CIERRE_SESION | usuario=123
[2026-06-05 16:10:17] [INFO ] INICIO_SESION | usuario=12 tipo=Bibliotecario
[2026-06-05 16:10:25] [INFO ] CIERRE_SESION | usuario=12
[2026-06-05 16:12:03] [INFO ] INICIO_SESION | usuario=12 tipo=Bibliotecario
[2026-06-05 16:12:19] [INFO ] CIERRE_SESION | usuario=12
[2026-06-05 16:12:27] [INFO ] INICIO_SESION | usuario=123 tipo=Estudiante
[2026-06-05 16:12:57] [INFO ] CIERRE_SESION | usuario=123
[2026-06-05 16:13:07] [INFO ] INICIO_SESION | usuario=12 tipo=Bibliotecario
[2026-06-05 16:14:45] [INFO ] CIERRE_SESION | usuario=12
[2026-06-05 16:15:24] [INFO ] INICIO_SESION | usuario=12 tipo=Bibliotecario
[2026-06-05 16:24:47] [INFO ] CIERRE_SESION | usuario=12
[2026-06-05 16:26:30] [INFO ] INICIO_SESION | usuario=12 tipo=Bibliotecario
[2026-06-05 16:27:01] [INFO ] CIERRE_SESION | usuario=12
[2026-06-05 16:27:20] [INFO ] INICIO_SESION | usuario=12 tipo=Bibliotecario
[2026-06-05 16:30:09] [INFO ] CIERRE_SESION | usuario=12
[2026-06-05 16:30:20] [INFO ] INICIO_SESION | usuario=12 tipo=Bibliotecario
[2026-06-05 16:33:41] [INFO ] CIERRE_SESION | usuario=12
[2026-06-05 16:34:37] [INFO ] INICIO_SESION | usuario=12 tipo=Bibliotecario
[2026-06-05 16:35:00] [INFO ] CIERRE_SESION | usuario=12
[2026-06-05 16:35:06] [INFO ] INICIO_SESION | usuario=12 tipo=Bibliotecario
[2026-06-05 16:38:52] [INFO ] CIERRE_SESION | usuario=12
[2026-06-05 16:45:09] [INFO ] INICIO_SESION | usuario=12 tipo=Bibliotecario
[2026-06-05 16:45:13] [INFO ] CIERRE_SESION | usuario=12
[2026-06-05 16:45:21] [INFO ] INICIO_SESION | usuario=123 tipo=Estudiante
[2026-06-05 16:51:43] [INFO ] CIERRE_SESION | usuario=123
[2026-06-05 16:52:46] [INFO ] INICIO_SESION | usuario=123 tipo=Estudiante
[2026-06-05 16:53:19] [INFO ] CIERRE_SESION | usuario=123
[2026-06-05 16:53:38] [ERROR] INICIO_SESION_FALLIDO | usuario=1234
[2026-06-05 16:53:42] [INFO ] INICIO_SESION | usuario=1234 tipo=Estudiante
[2026-06-05 16:53:50] [INFO ] CIERRE_SESION | usuario=1234
[2026-06-05 16:53:56] [INFO ] INICIO_SESION | usuario=12 tipo=Bibliotecario
[2026-06-05 16:54:49] [INFO ] DEVOLUCION | isbn=978-84-291-5032-2 estudiante=1234
[2026-06-05 16:57:58] [INFO ] CIERRE_SESION | usuario=12
[2026-06-05 17:02:32] [INFO ] INICIO_SESION | usuario=12 tipo=Bibliotecario
[2026-06-05 17:04:21] [INFO ] INICIO_SESION | usuario=12 tipo=Bibliotecario
[2026-06-05 17:05:22] [INFO ] CIERRE_SESION | usuario=12
[2026-06-05 17:06:55] [INFO ] INICIO_SESION | usuario=12 tipo=Bibliotecario
[2026-06-05 17:06:57] [INFO ] DEVOLUCION | isbn=978-84-291-5032-2 estudiante=1234
[2026-06-05 17:08:23] [INFO ] CIERRE_SESION | usuario=12
